[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.design.screens.LoadingErrorLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.authentication.intro.LottieViewPager
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Invalid target node for include tag in layout XML, was %s
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Layout class com.transferwise.android.design.widget.MultiLineCollapsingToolbarLayout is not derived from android.view.View
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.widget.address.AddressView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.card.layouts.CardAnimationLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.profile.personal.PersonalProfileView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.settings.AnimateAfterDrawLinearLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.settings.AnimateAfterDrawLinearLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.design.screens.LoadingErrorLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.design.screens.LoadingErrorLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.activities.BalanceCardsLayout
